_unit_id,_golden,_canary,_unit_state,_trusted_judgments,_last_judgment_at,google1_correct_website,google1_correct_website:confidence,google1_correct_website_found,google1_correct_website_found:confidence,google1_correct_website_worker_input,google1_correct_website_worker_input:confidence,info_about_park_on_a_list_website,info_about_park_on_a_list_website:confidence,info_about_park_on_a_list_website_worker_input,info_about_park_on_a_list_website_worker_input:confidence,park_info_found_on_state_website,park_info_found_on_state_website:confidence,google1_correct_website_found_gold,google1_correct_website_gold,info_about_park_on_a_list_website_gold,national_or_state,park_info_found_on_state_website_gold,park_name,park_state,park_wikipedia_url,state_park,unit_id
522769608,FALSE,,finalized,3,8/10/14 8:06,http://parks.wa.gov/587/Spring-Creek-Hatchery/,1,yes,1,http://www.parks.wa.gov/587/Spring-Creek-Hatchery,1,,,,0,,,,,,state,,Spring Creek Hatchery State Park,Washington,http://en.wikipedia.org/w/index.php?title=Spring_Creek_Hatchery_State_Park&action=edit&redlink=1,,39740
522769609,FALSE,,finalized,3,8/10/14 8:01,http://nps.gov/azru/,1,yes,1,http://www.nps.gov/azru/index.htm,1,,,,0,,,,,,national,,Aztec Ruins,New Mexico,http://en.wikipedia.org/wiki/Aztec_Ruins_National_Monument,,57728
522769610,FALSE,,finalized,3,8/10/14 7:30,http://mirrorlakewisconsin.com/,0.6688,yes,1,http://mirrorlakewisconsin.com/,0.6688,,,,0,,,,,,state,,Mirror Lake State Park,Wisconsin,http://en.wikipedia.org/wiki/Mirror_Lake_State_Park,,11199
522769611,FALSE,,finalized,3,8/10/14 8:02,,0,no,0.6818,,0,,,,0,no,0.6818,,,,state,,"Columbia Park, Kennewick",Washington,"http://en.wikipedia.org/wiki/Columbia_Park,_Kennewick",,54690
522769612,FALSE,,finalized,3,8/10/14 7:42,http://dnr.alaska.gov/parks/units/summit.htm,1,yes,1,http://dnr.alaska.gov/parks/units/summit.htm,1,,,,0,,,,,,state,,Summit Lake State Recreation Site,Alaska,http://en.wikipedia.org/w/index.php?title=Summit_Lake_State_Recreation_Site&action=edit&redlink=1,,14580
522769613,FALSE,,finalized,3,8/10/14 8:30,http://parks.ca.gov/?page_id=413,1,yes,1,http://www.parks.ca.gov/?page_id=413,1,,,,0,,,,,,state,,Jedediah Smith Redwoods State Park,California,http://en.wikipedia.org/wiki/Jedediah_Smith_Redwoods_State_Park,,28099
522769614,FALSE,,finalized,3,8/10/14 11:52,http://nysparks.com/parks/24/details.aspx,0.668,yes,1,http://nysparks.com/parks/24/details.aspx,0.668,,,,0,,,,,,state,,Keewaydin State Park,New York,http://en.wikipedia.org/wiki/Keewaydin_State_Park,,24125
522769615,FALSE,,finalized,3,8/10/14 11:17,http://southcarolinaparks.com/kingsmountain/introduction.aspx,1,yes,1,http://www.southcarolinaparks.com/kingsmountain/introduction.aspx,1,,,,0,,,,,,state,,Kings Mountain State Park,South Carolina,http://en.wikipedia.org/wiki/Kings_Mountain_State_Park,,56380
522769616,FALSE,,finalized,3,8/10/14 11:35,http://mostateparks.com/park/watkins-woolen-mill-state-historic-site/,0.6663,yes,1,http://mostateparks.com/park/watkins-woolen-mill-state-historic-site,0.6663,,,,0,,,,,,state,,Watkins Woolen Mill State Historic Site,Missouri,http://en.wikipedia.org/wiki/Watkins_Woolen_Mill_State_Park_and_State_Historic_Site,,31149
522769617,FALSE,,finalized,3,8/10/14 11:27,http://stateparks.mt.gov/placid-lake/,1,yes,1,http://stateparks.mt.gov/placid-lake/,1,,,,0,,,,,,state,,Placid Lake State Park,Montana,http://en.wikipedia.org/wiki/Placid_Lake_State_Park,,10640
522769618,FALSE,,finalized,3,8/10/14 11:41,http://nysparks.com/parks/137/details.aspx,1,yes,1,http://nysparks.com/parks/137/details.aspx,1,,,,0,,,,,,state,,Robert G. Wehle State Park,New York,http://en.wikipedia.org/w/index.php?title=Robert_G._Wehle_State_Park&action=edit&redlink=1,,24962
522769619,FALSE,,finalized,3,8/10/14 8:18,http://mass.gov/eea/agencies/dcr/massparks/region-boston/dorchester-shores-reservation.html,1,yes,1,http://www.mass.gov/eea/agencies/dcr/massparks/region-boston/dorchester-shores-reservation.html,1,,,,0,,,,,,state,,Dorchester Shores Reservation,Massachusetts,http://en.wikipedia.org/wiki/Dorchester_Shores_Reservation,,19742
522769620,FALSE,,finalized,3,8/10/14 11:18,http://emnrd.state.nm.us/SPD/conchaslakestatepark.html,1,yes,1,http://www.emnrd.state.nm.us/SPD/conchaslakestatepark.html,1,,,,0,,,,,,state,,Conchas Lake,New Mexico,http://en.wikipedia.org/wiki/Conchas_Lake,,15004
