--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/2000 a 27/08/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83781;20/05/2000;0000;;19;;2.6;2.2;15.1;73.25;3.133333;
83781;20/05/2000;1200;0.6;;13.1;;;;;;
83781;21/05/2000;0000;;18.6;;3.4;3;14.86;75;3.566667;
83781;21/05/2000;1200;0;;12.7;;;;;;
83781;22/05/2000;0000;;21.1;;8.5;2.8;15.64;74.75;2.566667;
83781;22/05/2000;1200;0;;11.5;;;;;;
83781;23/05/2000;0000;;21.9;;5.7;3;15.9;76.5;2.633333;
83781;23/05/2000;1200;0;;12.6;;;;;;
83781;24/05/2000;0000;;21.5;;6.2;2;16.16;77.5;2.7;
83781;24/05/2000;1200;0;;12.7;;;;;;
83781;25/05/2000;0000;;24.8;;8.3;2.8;18.24;53.75;3.4;
83781;25/05/2000;1200;0;;12;;;;;;
83781;26/05/2000;0000;;25.6;;7.4;5.7;19.68;53.25;2.933333;
83781;26/05/2000;1200;0;;14.3;;;;;;
83781;27/05/2000;0000;;19.5;;0;9;16.44;77.75;1.2;
83781;27/05/2000;1200;0;;14.7;;;;;;
83781;28/05/2000;0000;;21.7;;9.9;2;15.26;60;2.366667;
83781;28/05/2000;1200;0;;11.9;;;;;;
83781;29/05/2000;0000;;19.2;;9.7;5;13.38;69.75;2.333333;
83781;29/05/2000;1200;0;;8.7;;;;;;
83781;30/05/2000;0000;;23.2;;6.2;3.5;15.76;50.75;2.966667;
83781;30/05/2000;1200;0;;8.3;;;;;;
83781;31/05/2000;0000;;22.5;;7.8;10.5;16.84;65;3.866667;
83781;31/05/2000;1200;0;;11.9;;;;;;
83781;01/06/2000;0000;;17;;0;6;14.52;80.75;1.9;
83781;01/06/2000;1200;0.2;;13;;;;;;
83781;02/06/2000;0000;;20.4;;6.8;1.5;15.6;72.5;2.766667;
83781;02/06/2000;1200;0;;12.4;;;;;;
